"document","topic","gamma"
744,1,0.50632075281863
745,1,0.50050148046289
746,2,0.500578993161227
747,2,0.501965386682548
748,1,0.503883791401176
749,2,0.505093534434077
750,2,0.508181522927447
751,2,0.503241733768626
752,1,0.501464871440468
753,2,0.500465816776882
754,2,0.50046506923615
755,2,0.500583689083055
756,2,0.501205735099674
757,2,0.502784989013045
758,2,0.503118121427756
759,2,0.501815261030041
760,2,0.507592086546729
761,2,0.503550376685959
762,2,0.502598197196328
763,1,0.50050148046289
764,2,0.500578993161227
765,2,0.501965386682548
766,1,0.503883791401176
767,2,0.505093534434077
768,2,0.508181522927447
769,2,0.503241733768626
770,1,0.501464871440468
771,2,0.500465816776882
772,2,0.50046506923615
773,2,0.500583689083055
774,2,0.501205735099674
775,2,0.502784989013045
776,2,0.503118121427756
777,2,0.501815261030041
778,2,0.507592086546729
779,2,0.503550376685959
780,1,0.505076597563521
781,2,0.507036626744498
782,1,0.504307464930128
783,1,0.508522371203113
784,2,0.502743404365516
785,1,0.503625865570183
786,1,0.503883791401176
787,2,0.5017571223141
788,2,0.507020020047801
789,2,0.500138625536303
790,1,0.502343741385772
791,1,0.501561177422557
792,1,0.508522371203113
793,1,0.500361998200713
794,2,0.502743404365516
795,1,0.503625865570183
796,1,0.503883791401176
797,1,0.500491033061422
798,2,0.507020020047801
799,2,0.506277745770645
800,2,0.500138625536303
801,2,0.505573155822313
802,1,0.500475741849273
803,1,0.504324537242843
804,2,0.500788152499348
805,2,0.503998158166684
806,2,0.503118121427756
807,1,0.50803116664766
808,2,0.501282721288128
809,2,0.508355754071683
810,2,0.502156012754334
811,1,0.502166692720325
812,2,0.508527654849105
813,1,0.50792416694875
814,2,0.50619397432803
815,2,0.503508297864277
816,2,0.501029188588537
817,1,0.50244066239887
818,2,0.50046506923615
819,2,0.501815261030041
820,2,0.507592086546729
821,2,0.505989033903225
822,1,0.504564878710902
823,2,0.501094837895989
824,2,0.500389999282725
825,2,0.508819376654947
826,2,0.501660153987619
827,2,0.501956574448469
828,1,0.507895896588021
829,2,0.502732823627811
830,2,0.502614282299432
831,2,0.505964661472254
832,2,0.500689454150495
833,1,0.506850758195952
834,1,0.503055831650876
835,2,0.505340521148061
836,2,0.503875076726863
837,1,0.500660520770863
838,1,0.506898293919822
839,2,0.509271421783722
840,1,0.503041722267819
841,2,0.508774655420301
842,1,0.50737430342352
843,2,0.508353746282023
844,2,0.500906774493988
845,2,0.502614282299432
846,2,0.507521066080113
847,1,0.502176032599321
848,2,0.501533696698885
849,2,0.50180119338733
850,2,0.502720639017986
852,2,0.503666060245894
853,1,0.506120953927682
854,2,0.501772113649113
856,1,0.502166692720325
857,2,0.508527654849105
858,1,0.50792416694875
859,2,0.50514308595858
860,2,0.502156012754334
861,2,0.503335029382827
862,2,0.501259830696651
863,1,0.501608455717839
864,2,0.504956102341345
865,1,0.509304043635429
866,1,0.501314064690603
867,1,0.50128534092342
868,2,0.502732823627811
869,1,0.503799711754448
870,1,0.500425059136212
871,1,0.500024932002417
872,2,0.507874576359723
873,2,0.503489308887551
874,2,0.508837572290753
875,2,0.505340521148061
876,2,0.501252686966459
877,1,0.508455976498553
878,2,0.501065482183427
879,1,0.505108152969059
880,1,0.502426965974715
881,2,0.503088124388431
882,1,0.501396903162026
883,2,0.501815261030041
884,2,0.507592086546729
885,2,0.502732823627811
886,1,0.503799711754448
887,2,0.505964661472254
888,2,0.500650580682619
889,2,0.50180119338733
890,1,0.50186125243887
891,1,0.504288034922813
892,2,0.506994520172322
893,2,0.502732823627811
894,1,0.503799711754448
895,2,0.501815261030041
896,2,0.507592086546729
897,1,0.50048531940009
898,2,0.501200994184298
899,2,0.502322067581725
900,1,0.506753394274322
901,2,0.50180119338733
902,2,0.502727085390419
903,1,0.503799711754448
904,1,0.50186125243887
905,2,0.503128123446074
906,2,0.501762569083714
907,1,0.504307464930128
908,1,0.508522371203113
909,1,0.501823172311785
910,1,0.507161940298561
911,2,0.502616672971261
912,2,0.501965386682548
913,1,0.503883791401176
915,2,0.500465816776882
916,2,0.50046506923615
917,2,0.501094837895989
918,2,0.502784989013045
919,1,0.503016620993107
920,2,0.501815261030041
921,2,0.507592086546729
922,2,0.504336473435284
923,1,0.502769029526642
924,1,0.501823172311785
925,1,0.503271396846059
926,1,0.504991305012166
927,2,0.501088539251987
928,2,0.508616202206092
929,1,0.506382387395162
931,2,0.503335029382827
932,2,0.501259830696651
933,1,0.501561177422557
934,1,0.50491680205238
935,1,0.501936620890971
936,1,0.500492985347221
937,2,0.500424844491774
938,2,0.501653404977681
939,1,0.503230168391431
940,1,0.502037765612925
941,1,0.500657015482214
942,1,0.508492187365488
943,2,0.500141124598902
944,2,0.504137220752749
945,2,0.502609585715399
946,2,0.500763776223167
947,1,0.50217990567219
948,1,0.502663107939019
949,1,0.508465186140907
950,2,0.504336473435284
951,1,0.502769029526642
952,1,0.500361998200713
953,1,0.503271396846059
954,1,0.504991305012166
955,2,0.501088539251987
956,1,0.502769029526642
957,1,0.503225287885776
958,1,0.501491280648225
959,2,0.502304322677383
960,2,0.508616202206092
961,1,0.506382387395162
963,2,0.503335029382827
964,2,0.501259830696651
965,2,0.506005707758035
966,2,0.506994520172322
967,1,0.502176032599321
968,1,0.506958822729772
969,2,0.501772113649113
970,1,0.501414434037306
971,1,0.507983433819954
972,2,0.501810407764736
973,1,0.505877559031396
974,2,0.503998158166684
975,1,0.504564878710902
976,2,0.504681144678408
977,1,0.506688660759901
978,2,0.504578849768406
979,2,0.500128981656717
980,1,0.505009426068344
981,1,0.50050148046289
982,2,0.508476546481195
983,2,0.503255694358035
984,1,0.501936620890971
985,2,0.505340521148061
986,1,0.503799711754448
987,1,0.503427590337517
988,1,0.501430708075035
989,2,0.503173231987193
990,1,0.505621077665803
991,2,0.502178995912536
992,2,0.503335029382827
993,2,0.501259830696651
994,2,0.501214657281904
995,2,0.505093534434077
996,1,0.506133770780933
997,1,0.5023340368388
998,1,0.503883791401176
999,2,0.505093534434077
1000,1,0.502176032599321
1001,1,0.501385222228109
1002,2,0.507020020047801
1003,2,0.505160736694503
1004,1,0.502831875934134
1005,1,0.50792416694875
1006,2,0.503550376685959
1007,1,0.502045957845515
1008,1,0.509286060377129
1009,2,0.508760136146829
1010,2,0.502178995912536
1011,2,0.503335029382827
1012,2,0.501259830696651
1013,1,0.504307464930128
1014,1,0.508522371203113
1015,1,0.500361998200713
1016,1,0.507161940298561
1017,2,0.502616672971261
1018,2,0.501965386682548
1019,1,0.503883791401176
1021,2,0.500465816776882
1022,2,0.50046506923615
1023,2,0.501094837895989
1024,2,0.502784989013045
1025,1,0.503016620993107
1026,2,0.501815261030041
1027,2,0.507592086546729
1029,2,0.503926885205095
1030,1,0.501272448944744
1031,2,0.50075672673054
1032,1,0.503030859792715
1033,1,0.503936804705074
1034,2,0.502739686775058
1035,1,0.500801936887234
1036,1,0.503882388385609
1037,2,0.505081951971847
1038,2,0.504392599185951
1039,1,0.50339408994218
1040,1,0.503936804705074
1041,1,0.507541790344333
1042,1,0.504307464930128
1043,1,0.508522371203113
1044,1,0.501823172311785
1045,2,0.503764830960261
1047,2,0.500752304424857
1048,2,0.502636446967417
1049,2,0.506356073789818
1050,1,0.504222920182568
1051,1,0.500820185858799
1052,1,0.509286060377129
1053,2,0.50031140906325
1054,2,0.501259830696651
1055,2,0.502565315486554
1056,2,0.502247580373663
1057,1,0.507601852732019
1058,1,0.500966667931221
1060,2,0.503926885205095
1061,2,0.503639623535394
1062,2,0.500948119253174
1063,2,0.502044826659487
1064,2,0.500763776223167
1065,2,0.505810103872748
1066,1,0.506428492222025
1067,2,0.506458637135795
1068,1,0.501596686896931
1069,2,0.500867118381655
1071,2,0.503755029080484
1072,2,0.500190952363139
1073,2,0.501090397276954
1074,2,0.503763005664516
1075,2,0.501739020354953
1076,1,0.503473429513327
1077,2,0.507770534041733
1078,1,0.502681494590233
1079,1,0.509286060377129
1080,1,0.501949296299447
1081,2,0.501555293266406
1082,1,0.500635499603927
1083,2,0.500580868524884
1084,2,0.508025793028768
1085,1,0.501561177422557
1086,1,0.508522371203113
1087,1,0.501823172311785
1088,1,0.50050148046289
1089,1,0.506395410075257
1090,2,0.507076306884148
1091,2,0.506968115168612
1092,1,0.503319638358635
1093,1,0.505466603984417
1094,1,0.505076597563521
1095,2,0.509089806619081
1096,1,0.508522371203113
1097,1,0.500361998200713
1098,2,0.504195696927214
1099,2,0.502148335897662
1100,1,0.500898244708789
1101,2,0.50578841717248
1102,1,0.503230168391431
1103,1,0.501076147955379
1105,1,0.507630249683286
1106,2,0.507449261124936
1107,1,0.506145170280245
1108,2,0.500832534925762
1109,1,0.500898244708789
1110,1,0.500689116570373
1112,2,0.503926885205095
1113,1,0.507624871459154
1114,2,0.504884197294565
1115,1,0.500689116570373
1116,1,0.505685095304283
1117,1,0.503609537896132
1118,1,0.508522371203113
1119,1,0.501823172311785
1120,1,0.500262918085435
1121,2,0.501259830696651
1122,1,0.503936804705074
1123,2,0.505524104010471
1124,2,0.504649264729058
1125,1,0.509082567775979
1126,1,0.500170184186179
1127,1,0.507041101511139
1128,2,0.501772113649113
1129,2,0.504803893566978
1130,2,0.503114197319343
1131,2,0.500689454150495
1132,2,0.500105757925467
1133,1,0.505163194439362
1134,1,0.5049336261425
1135,2,0.501375111861348
1136,1,0.507541790344333
1138,2,0.503926885205095
1139,1,0.500822322744133
1140,2,0.504738298553777
1141,1,0.504040503499779
1142,1,0.507985774936557
1143,1,0.507793590390997
1144,2,0.50874551131611
1145,1,0.502503069819967
1146,1,0.500226522213885
1147,1,0.507985774936557
1148,2,0.502609585715399
1149,2,0.501968192427973
1150,2,0.503737458961812
1151,1,0.502176032599321
1152,2,0.502802748889076
1153,2,0.501660153987619
1154,2,0.50217400966236
1155,2,0.502247580373663
1156,2,0.504738298553777
1157,1,0.506688660759901
1158,2,0.508001135981217
1159,2,0.509159167709572
1160,2,0.503550376685959
1161,1,0.508436625825018
1162,2,0.506994520172322
1163,2,0.502732823627811
1164,1,0.503799711754448
1165,2,0.503998158166684
1166,2,0.501815261030041
1167,2,0.507592086546729
1168,2,0.50075672673054
1169,2,0.501180213405349
1170,2,0.500293273979174
1171,2,0.505081951971847
1172,2,0.506788122518639
1173,2,0.503335029382827
1174,2,0.501772113649113
1175,2,0.501810407764736
1176,1,0.507146212733162
1177,2,0.50377813491972
1178,2,0.504295407967802
1179,1,0.501323430097652
1180,1,0.500381830167952
1181,2,0.502156012754334
